Product Code,Net Unit Cost,Quantity,Product Variant,Tax Rate Name,Discount,Expiry,,
5411416046622,187.00012,10,,VAT @16%,0%,,,
5411416046684,187.00012,20,,VAT @16%,0%,,,
5411416046769,187.00012,30,,VAT @16%,0%,,,
5411416047001,187.00012,10,,VAT @16%,0%,,,
5411416046882,187.00012,30,,VAT @16%,0%,,,
5411416046707,807.4992,4,,VAT @16%,0%,,,
5411416046783,807.4992,4,,VAT @16%,0%,,,
5411416047025,807.4992,4,,VAT @16%,0%,,,
8690742150143,1317.499,4,,VAT @16%,0%,,,
5411416046820,1317.499,4,,VAT @16%,0%,,,
8690742100643,1317.499,4,,VAT @16%,0%,,,
5411416047063,1317.499,4,,VAT @16%,0%,,,
5411416044932,612.0005333,6,,VAT @16%,0%,,,
5411416044956,612.0005333,6,,VAT @16%,0%,,,
8690742400026,161.49955,24,,VAT @16%,0%,,,
8690742400194,186.9997333,24,,VAT @16%,0%,,,
