Product Code,Net Unit Cost,Quantity,Product Variant,Tax Rate Name,Discount,Expiry
6164004583199 ,75.19,12,,VAT @16%,0%,12/31/2018
6164004583205 ,146.61,12,,VAT @16%,0%,12/31/2018
6164004583236 ,80.04,12,,VAT @16%,0%,12/31/2018
6164004583243 ,119.48,12,,VAT @16%,0%,12/31/2018
6164004583427 ,63.8,12,,VAT @16%,0%,12/31/2018
6164004583434 ,120.3,12,,VAT @16%,0%,12/31/2018
6164004583304 ,85,6,,VAT @16%,0%,12/31/2018
6164004583311 ,150.8,6,,VAT @16%,0%,12/31/2018
6164004583120 ,179.8,6,,VAT @16%,0%,12/31/2018
6164004583137 ,307.4,6,,VAT @16%,0%,12/31/2018
6164004583571 ,39.44,6,,VAT @16%,0%,12/31/2018
6164004583588 ,81.2,6,,VAT @16%,0%,12/31/2018
6164004583335 ,69.6,6,,VAT @16%,0%,12/31/2018
6164004583342 ,139.2,6,,VAT @16%,0%,12/31/2018
6164004583540 ,39.44,12,,VAT @16%,0%,12/31/2018
6164004583557 ,81.2,12,,VAT @16%,0%,12/31/2018
6164004583885 ,63.8,12,,VAT @16%,0%,12/31/2018
6164004583892 ,127.6,12,,VAT @16%,0%,12/31/2018
6164004583601 ,56.39,6,,VAT @16%,0%,12/31/2018
6164004583618 ,105.26,6,,VAT @16%,0%,12/31/2018
6164004583632 ,44.08,6,,VAT @16%,0%,12/31/2018
6164004583649 ,81.2,6,,VAT @16%,0%,12/31/2018
6164004583397 ,210.54,6,,VAT @16%,0%,12/31/2018
6164004583403 ,371.2,6,,VAT @16%,0%,12/31/2018
6164004583687 ,52.2,12,,VAT @16%,0%,12/31/2018
6164004583267 ,81.97,6,,VAT @16%,0%,12/31/2018
6164004583274 ,141.52,6,,VAT @16%,0%,12/31/2018
6164004583069 ,86.47,6,,VAT @16%,0%,12/31/2018
6164004583076 ,139.2,6,,VAT @16%,0%,12/31/2018
